Alaska,Mark Begich,D,111 Russell Senate Office Building,202-224-3004,202-224-2354,Lisa Murkowski,R,709 Hart Senate Office Building,202-224-6665,202-224-5301,AK
Alabama,Jeff Sessions,R,326 Russell Senate Office Building,202-224-4124,202-224-3149,Richard Shelby,R,304 Russell Senate Office Building,202-224-5744,202-224-3416,AL
Arkansas,John Boozman,R,320 Hart Senate Office Building,202-224-4843,202-228-1371,Mark Pryor,D,255 Dirksen Senate Office Building,202-224-2353,202-228-0908,AR
Arizona,Jeff Flake,R,368 Russell Senate Office Building,202-224-4521,202-228-0515,John McCain,R,241 Russell Senate Office Building,202-224-2235,202-228-2862,AZ
California,Barbara Boxer,D,112 Hart Senate Office Building,202-224-3553,202-224-0454,Dianne Feinstein,D,331 Hart Senate Office Building,202-224-3841,202-228-3954,CA
Colorado,Michael Bennet,D,458 Russell Senate Office Building,202-224-5852,202-228-5036,Mark Udall,D,730 Hart Senate Office Building,202-224-5941,202-224-6471,CO
Connecticut,Richard Blumenthal,D,724 Hart Senate Office Building,202-224-2823,202-224-9673,Chris Murphy,D,303 Hart Senate Office Building,202-224-4041,202-224-9750,CT
Delaware,Tom Carper,D,513 Hart Senate Office Building,202-224-2441,202-228-2190,Chris Coons,D,127A Russell Senate Office Building,202-224-5042,202-228-3075,DE
Florida,Bill Nelson,D,716 Hart Senate Office Building,202-224-5274,202-228-2183,Marco Rubio,R,284 Russell Senate Office Building,202-224-3041,202-224-3041,FL
Georgia,Saxby Chambliss,R,416 Russell Senate Office Building,202-224-3521,202-224-0103,Johnny Isakson,R,131 Russell Senate Office Building,202-224-3643,202-228-0724,GA
Hawaii,Mazie Hirono,D,330 Hart Senate Office Building,202-224-6361,202-224-2126,Brian Schatz,D,722 Hart Senate Office Building,202-224-3934,202-228-1153,HI
Iowa,Chuck Grassley,R,135 Hart Senate Office Building,202-224-3744,202-224-6020,Tom Harkin,D,731 Hart Senate Office Building,202-224-3254,202-224-9369,IA
Idaho,Michael Crapo,R,239 Dirksen Senate Office Building,202-224-6142,202-228-1375,Jim Risch,R,483 Russell Senate Office Building,202-224-2752,202-224-2573,ID
Illinois,Richard Durbin,D,711 Hart Senate Office Building,202-224-2152,202-228-0400,Mark Steven Kirk,R,524 Hart Senate Office Building,202-224-2854,202-228-4611,IL
Indiana,Dan Coats,R,493 Russell Senate Office Building,202-224-5623,202-228-1820,Joe Donnelly,D,720 Hart Senate Office Building,202-224-4814,202-224-5011,IN
Kansas,Jerry Moran,R,361A Russell Senate Office Building,202-224-6521,202-228-6966,Pat Roberts,R,109 Hart Senate Office Building,202-224-4774,202-224-3514,KS
Kentucky,Mitch McConnell,R,317 Russell Senate Office Building,202-224-2541,202-224-2499,Rand Paul,R,124 Russell Senate Office Building,202-224-4343,202-228-6917,KY
Louisiana,Mary Landrieu,D,703 Hart Senate Office Building,202-224-5824,202-224-9735,Dave Vitter,R,516 Hart Senate Office Building,202-224-4623,202-228-5061,LA
Massachusetts,Elizabeth Warren,D,317 Hart Senate Office Building,202-224-4543,202-228-2646,Ed Markey,D,218 Russell Senate Office Building,202-224-2742,202-224-8525,MA
Maryland,Ben Cardin,D,509 Hart Senate Office Building,202-224-4524,202-224-1651,Barbara Mikulski,D,503 Hart Senate Office Building,202-224-4654,202-224-8858,MD
Maine,Susan Collins,R,413 Dirksen Senate Office Building,202-224-2523,202-224-2693,Angus King,I,359 Dirksen Senate Office Building,202-224-5344,202-224-1946,ME
Michigan,Carl Levin,D,269 Russell Senate Office Building,202-224-6221,202-224-1388,Debbie Stabenow,D,133 Hart Senate Office Building,202-224-4822,202-224-2066,MI
Minnesota,Al Franken,D,309 Hart Senate Office Building,202-224-5641,202-224-5641,Amy Klobuchar,D,302 Hart Senate Office Building,202-224-3244,202-228-2186,MN
Missouri,Roy Blunt,R,260 Russell Senate Office Building,202-224-5721,202-224-8149,Claire McCaskill,D,506 Hart Senate Office Building,202-224-6154,202-228-6326,MO
Mississippi,Thad Cochran,R,113 Dirksen Senate Office Building,202-224-5054,202-224-9450,Roger Wicker,R,555 Dirksen Senate Office Building,202-224-6253,202-228-0378,MS
Montana,Max Baucus,D,511 Hart Senate Office Building,202-224-2651,202-224-9412,Jon Tester,D,706 Hart Senate Office Building,202-224-2644,202-224-8594,MT
North Carolina,Richard Burr,R,217 Russell Senate Office Building,202-224-3154,202-228-2981,Kay Hagan,D,521 Dirksen Senate Office Building,202-224-6342,202-228-2563,NC
North Dakota,Heidi Heitkamp,D,502 Hart Senate Office Building,202-224-2043,202-224-7776,John Hoeven,R,338 Russell Senate Office Building,202-224-2551,202-224-7999,ND
Nebraska,Deb Fischer,R,383 Russell Senate Office Building,202-224-6551,202-228-1325,Mike Johanns,R,404 Russell Senate Office Building,202-224-4224,202-228-0436,NE
New Hampshire,Kelly Ayotte,R,144 Russell Senate Office Building,202-224-3324,202-224-4952,Jeanne Shaheen,D,520 Hart Senate Office Building,202-224-2841,202-228-3194,NH
New Jersey,Jeff Chiesa,R,1 Russell Courtyard,202-224-3224,202-228-4054,Robert Menendez,D,528 Hart Senate Office Building,202-224-4744,202-228-2197,NJ
New Mexico,Martin Heinrich,D,702 Hart Senate Office Building,202-224-5521,202-228-2841,Tom Udall,D,110 Hart Senate Office Building,202-224-6621,202-228-3261,NM
Nevada,Dean Heller,R,324 Hart Senate Office Building,202-224-6244,202-228-6753,Harry Reid,D,522 Hart Senate Office Building,202-224-3542,202-224-7327,NV
New York,Kirsten Gillibrand,D,478 Russell Senate Office Building,202-224-4451,202-228-0282,Chuck Schumer,D,322 Hart Senate Office Building,202-224-6542,202-228-3027,NY
Ohio,Sherrod Brown,D,713 Hart Senate Office Building,202-224-2315,202-228-6321,Rob Portman,R,448 Russell Senate Office Building,202-224-3353,202-224-9075,OH
Oklahoma,Tom Coburn,R,172 Russell Senate Office Building,202-224-5754,202-224-6008,James Inhofe,R,205 Russell Senate Office Building,202-224-4721,202-228-0380,OK
Oregon,Jeff Merkley,D,313 Hart Senate Office Building,202-224-3753,202-228-3997,Ron Wyden,D,221 Dirksen Senate Office Building,202-224-5244,202-228-2717,OR
Pennsylvania,Bob Casey,D,393 Russell Senate Office Building,202-224-6324,202-228-0604,Pat Toomey,R,248 Russell Senate Office Building,202-224-4254,202-228-0284,PA
Rhode Island,Jack Reed,D,728 Hart Senate Office Building,202-224-4642,202-224-4680,Sheldon Whitehouse,D,530 Hart Senate Office Building,202-224-2921,202-228-6362,RI
South Carolina,Lindsey Graham,R,290 Russell Senate Office Building,202-224-5972,202-224-3808,Tim Scott,R,167 Russell Senate Office Building,202-224-6121,202-228-5143,SC
South Dakota,Tim Johnson,D,136 Hart Senate Office Building,202-224-5842,202-228-5765,John Thune,R,511 Dirksen Senate Office Building,202-224-2321,202-228-5429,SD
Tennessee,Lamar Alexander,R,455 Dirksen Senate Office Building,202-224-4944,202-228-3398,Bob Corker,R,425 Dirksen Senate Office Building,202-224-3344,202-228-0566,TN
Texas,John Cornyn,R,517 Hart Senate Office Building,202-224-2934,202-228-2856,Ted Cruz,R,185 Dirksen Senate Office Building,202-224-5922,202-224-0776,TX
Utah,Orrin Hatch,R,104 Hart Senate Office Building,202-224-5251,202-224-6331,Mike Lee,R,316 Hart Senate Office Building,202-224-5444,202-228-1168,UT
Virginia,Tim Kaine,D,388 Russell Senate Office Building,202-224-4024,202-228-6363,Mark Warner,D,475 Russell Senate Office Building,202-224-2023,202-224-6295,VA
Vermont,Pat Leahy,D,437 Russell Senate Office Building,202-224-4242,202-224-3479,Bernie Sanders,I,332 Dirsken Office Building,202-224-5141,202-228-0776,VT
Washington,Maria Cantwell,D,311 Hart Senate Office Building,202-224-3441,202-228-0514,Patty Murray,D,154 Russell Senate Office Building,202-224-2621,202-224-0238,WA
Wisconsin,Tammy Baldwin,D,717 Hart Senate Office Building,202-224-5653,202-224-9787,Ron Johnson,R,328 Hart Senate Office Building,202-224-5323,202-228-6965,WI
West Virginia,Joe Manchin,D,306 Hart Senate Office Building,202-224-3954,202-228-0002,Jay Rockefeller,D,531 Hart Senate Office Building,202-224-6472,202-224-7665,WV
Wyoming,John Barrasso,R,307 Dirksen Senate Office Building,202-224-6441,202-224-1724,Michael Enzi,R,379A Russell Senate Office Building,202-224-3424,202-228-0359,WY
